Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,>.500,<.500,playoffs,lcs,ws,champs
1,BOS,AL,162,97,65,0.599,5.3,4,1.2,0.1,1.3,100-62,-3,14-6,53-28,44-37,6-Oct,21-21,65-43,32-22,53-43,44-22,1,1,1,1
2,STL,NL,162,97,65,0.599,4.8,3.7,1.2,-0.1,1,101-61,-4,10-Oct,54-27,43-38,6-Jul,20-16,78-42,19-23,39-36,58-29,1,1,1,0
3,ATL,NL,162,96,66,0.593,4.2,3.4,0.9,-0.3,0.6,98-64,-2,9-Nov,56-25,40-41,5-Dec,27-20,71-50,25-16,39-24,57-42,1,0,0,0
4,OAK,AL,162,96,66,0.593,4.7,3.9,0.9,0,0.8,96-66,0,13-7,52-29,44-37,6-Jul,30-20,64-44,32-22,40-34,56-32,1,0,0,0
5,PIT,NL,162,94,68,0.58,3.9,3.6,0.4,0,0.3,88-74,6,15-5,50-31,44-37,11-Sep,29-23,76-55,18-13,40-34,54-34,1,0,0,0
6,DET,AL,162,93,69,0.574,4.9,3.9,1.1,0,1,99-63,-6,8-Dec,51-30,42-39,13-Jun,20-26,66-46,27-23,48-40,45-29,1,1,0,0
7,LAD,NL,162,92,70,0.568,4,3.6,0.4,-0.2,0.2,89-73,3,8-Dec,47-34,45-36,5-Oct,25-21,66-43,26-27,34-31,58-39,1,1,0,0
8,CLE,AL,162,92,70,0.568,4.6,4.1,0.5,0,0.5,90-72,2,9-Nov,51-30,41-40,2-Oct,30-17,56-50,36-20,36-52,56-18,1,0,0,0
9,TBR,AL,163,92,71,0.564,4.3,4,0.3,0.1,0.5,87-76,5,8-Dec,51-30,41-41,7-Sep,26-21,62-48,30-23,48-49,44-22,1,0,0,0
10,TEX,AL,163,91,72,0.558,4.5,3.9,0.6,0,0.6,92-71,-1,10-Oct,46-36,45-36,9-Mar,27-20,59-53,32-19,38-41,53-31,0,0,0,0
11,CIN,NL,162,90,72,0.556,4.3,3.6,0.7,-0.1,0.6,93-69,-3,9-Nov,49-31,41-41,13-9,27-22,63-47,27-25,35-42,55-30,1,0,0,0
12,WSN,NL,162,86,76,0.531,4,3.9,0.2,-0.2,0,84-78,2,9-Nov,47-34,39-42,8-Jul,28-24,60-56,26-20,24-41,62-35,0,0,0,0
13,KCR,AL,162,86,76,0.531,4,3.7,0.3,0.1,0.4,87-75,-1,11-Sep,44-37,42-39,4-Nov,31-25,62-52,24-24,44-45,42-31,0,0,0,0
14,NYY,AL,162,85,77,0.525,4,4.1,-0.1,0.2,0.1,79-83,6,11-Sep,46-35,39-42,6-Jun,30-16,53-54,32-23,45-52,40-25,0,0,0,0
