Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,>.500,<.500,playoffs,lcs,ws,champs
1,STL,NL,162,100,62,0.617,4,3.2,0.8,-0.3,0.5,96-66,4,9-Nov,55-26,45-36,8-Aug,32-23,75-44,25-18,46-31,54-31,1,0,0,0
2,PIT,NL,162,98,64,0.605,4.3,3.7,0.6,-0.3,0.3,93-69,5,13-7,53-28,45-36,9-Dec,36-17,78-48,20-16,42-32,56-32,1,0,0,0
3,CHC,NL,162,97,65,0.599,4.3,3.8,0.5,-0.3,0.2,90-72,7,10-Oct,49-32,48-33,13-5,34-21,77-51,20-14,44-32,53-33,1,1,0,0
4,KCR,AL,162,95,67,0.586,4.5,4,0.5,0.2,0.7,90-72,5,13-7,51-30,44-37,6-Oct,23-17,64-40,31-27,47-43,48-24,1,1,0,0
5,TOR,AL,162,93,69,0.574,5.5,4.1,1.4,0.2,1.6,102-60,-9,8-Dec,53-28,40-41,6-Aug,15-28,73-54,20-15,53-33,40-36,1,1,1,0
6,LAD,NL,162,92,70,0.568,4.1,3.7,0.4,-0.3,0.1,89-73,3,10-Oct,55-26,37-44,9-Jun,23-26,67-51,25-19,28-37,64-33,1,0,0,0
7,NYM,NL,162,90,72,0.556,4.2,3.8,0.4,-0.4,0,89-73,1,11-Sep,49-32,41-40,6-Sep,25-24,70-56,20-16,28-38,62-34,1,1,1,1
8,TEX,AL,162,88,74,0.543,4.6,4.5,0.1,0.2,0.4,83-79,5,9-Nov,43-38,45-36,4-May,27-22,53-43,35-31,48-36,40-38,1,0,0,0
9,NYY,AL,162,87,75,0.537,4.7,4.3,0.4,0.3,0.8,88-74,-1,9-Nov,45-36,42-39,9-Apr,23-24,60-52,27-23,40-47,47-28,1,0,0,0
10,HOU,AL,162,86,76,0.531,4.5,3.8,0.7,0.2,0.9,93-69,-7,16-4,53-28,33-48,6-Aug,21-29,56-45,30-31,42-43,44-33,1,0,0,0
11,LAA,AL,162,85,77,0.525,4.1,4.2,-0.1,0.3,0.2,79-83,6,12-Aug,49-32,36-45,7-May,35-17,60-55,25-22,38-48,47-29,0,0,0,0
12,SFG,NL,162,84,78,0.518,4.3,3.9,0.4,-0.3,0.1,89-73,-5,13-7,47-34,37-44,5-Jun,19-28,62-56,22-22,29-33,55-45,0,0,0,0
13,WSN,NL,162,83,79,0.512,4.3,3.9,0.4,-0.4,0,89-73,-6,12-Aug,46-35,37-44,2-Sep,22-22,60-63,23-16,28-37,55-42,0,0,0,0
14,MIN,AL,162,83,79,0.512,4.3,4.3,0,0.2,0.2,81-81,2,12-Aug,46-35,37-44,8-Jun,21-20,55-53,28-26,42-46,41-33,0,0,0,0
15,CLE,AL,161,81,80,0.503,4.2,4,0.2,0.2,0.4,84-77,-3,8-Dec,39-41,42-39,4-May,15-18,57-49,24-31,41-46,40-34,0,0,0,0
16,BAL,AL,162,81,81,0.5,4.4,4.3,0.1,0.4,0.5,83-79,-2,8-Dec,47-31,34-50,5-Jun,25-26,59-58,22-23,37-51,44-30,0,0,0,0
17,TBR,AL,162,80,82,0.494,4,4,0,0.4,0.4,81-81,-1,14-6,42-42,38-40,13-Feb,26-30,50-59,30-23,46-58,34-24,0,0,0,0
18,ARI,NL,162,79,83,0.488,4.4,4.4,0,-0.3,-0.2,82-80,-3,9-Nov,39-42,40-41,9-Sep,20-24,60-61,19-22,32-53,47-30,0,0,0,0
19,BOS,AL,162,78,84,0.481,4.6,4.6,0,0.4,0.3,81-81,-3,13-7,43-38,35-46,7-Jul,20-19,57-59,21-25,44-59,34-25,0,0,0,0
20,SEA,AL,162,76,86,0.469,4,4.5,-0.4,0.3,-0.1,74-88,2,12-Aug,36-45,40-41,13-Oct,28-29,54-54,22-32,44-58,32-28,0,0,0,0
21,CWS,AL,162,76,86,0.469,3.8,4.3,-0.5,0.3,-0.2,72-90,4,11-Sep,40-41,36-45,13-5,29-30,58-68,18-18,49-61,27-25,0,0,0,0
22,DET,AL,161,74,87,0.46,4.3,5,-0.7,0.3,-0.4,69-92,5,11-Sep,38-43,36-44,8-Sep,26-22,53-70,21-17,51-59,23-28,0,0,0,0
23,SDP,NL,162,74,88,0.457,4,4.5,-0.5,-0.2,-0.7,72-90,2,13-Aug,39-42,35-46,5-Jul,22-21,55-67,19-21,33-50,41-38,0,0,0,0
24,MIA,NL,162,71,91,0.438,3.8,4.2,-0.4,-0.3,-0.7,74-88,-3,13-Aug,41-40,30-51,3-Jun,23-21,57-72,14-19,33-47,38-44,0,0,0,0
25,MIL,NL,162,68,94,0.42,4,4.5,-0.5,-0.2,-0.7,72-90,-4,12-Aug,34-47,34-47,5-Apr,16-16,49-74,19-20,36-61,32-33,0,0,0,0
