Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,>.500,<.500,playoffs,lcs,ws,champs
1,LAA,AL,162,98,64,0.605,4.8,3.9,0.9,0.1,1,96-66,2,8-Dec,52-29,46-35,7-Oct,27-22,70-44,28-20,41-43,57-21,1,0,0,0
2,BAL,AL,162,96,66,0.593,4.4,3.7,0.7,0.1,0.8,94-68,2,8-Dec,50-31,46-35,14-6,32-23,74-47,22-19,51-40,45-26,1,1,0,0
3,WSN,NL,162,96,66,0.593,4.2,3.4,0.8,-0.2,0.7,97-65,-1,10-Oct,51-30,45-36,9-Aug,26-22,68-49,28-17,23-23,73-43,1,0,0,0
4,LAD,NL,162,94,68,0.58,4.4,3.8,0.6,-0.2,0.4,92-70,2,9-Nov,45-36,49-32,12-Jun,25-20,68-52,26-16,26-33,68-35,1,0,0,0
5,STL,NL,162,90,72,0.556,3.8,3.7,0.1,-0.2,-0.1,83-79,7,12-Aug,51-30,39-42,6-Jul,32-23,69-54,21-18,39-33,51-39,1,1,0,0
6,DET,AL,162,90,72,0.556,4.7,4.4,0.3,0,0.4,86-76,4,8-Dec,45-36,45-36,7-Jun,23-20,62-50,28-22,49-39,41-33,1,0,0,0
7,KCR,AL,162,89,73,0.549,4,3.9,0.2,0.1,0.2,84-78,5,15-5,42-39,47-34,7-May,22-25,65-52,24-21,44-45,45-28,1,1,1,0
8,SFG,NL,162,88,74,0.543,4.1,3.8,0.3,-0.2,0.1,87-75,1,10-Oct,45-36,43-38,4-Sep,18-22,58-44,30-30,27-31,61-43,1,1,1,1
9,PIT,NL,162,88,74,0.543,4.2,3.9,0.3,-0.2,0.1,87-75,1,9-Nov,51-30,37-44,7-Aug,31-29,68-61,20-13,33-39,55-35,1,0,0,0
10,OAK,AL,162,88,74,0.543,4.5,3.5,1,0.1,1.1,99-63,-11,13-7,48-33,40-41,13-8,21-28,64-49,24-25,44-40,44-34,1,0,0,0
11,SEA,AL,162,87,75,0.537,3.9,3.4,0.5,0.2,0.7,91-71,-4,11-Sep,41-40,46-35,7-Apr,18-27,55-52,32-23,45-35,42-40,0,0,0,0
12,CLE,AL,162,85,77,0.525,4.1,4,0.1,0.1,0.1,83-79,2,10-Oct,48-33,37-44,13-8,25-21,60-52,25-25,36-47,49-30,0,0,0,0
13,NYY,AL,162,84,78,0.518,3.9,4.1,-0.2,0.1,0,77-85,7,13-7,43-38,41-40,7-Jul,28-24,60-58,24-20,41-45,43-33,0,0,0,0
14,TOR,AL,162,83,79,0.512,4.5,4.2,0.2,0.1,0.3,85-77,-2,13-7,46-35,37-44,8-May,15-20,63-60,20-19,41-47,42-32,0,0,0,0
15,MIL,NL,162,82,80,0.506,4,4.1,0,-0.2,-0.2,80-82,2,9-Nov,42-39,40-41,6-Jun,23-19,60-62,22-18,33-33,49-47,0,0,0,0
16,ATL,NL,162,79,83,0.488,3.5,3.7,-0.1,-0.1,-0.2,78-84,1,13-Jul,42-39,37-44,10-Jul,25-28,60-68,19-15,28-34,51-49,0,0,0,0
17,NYM,NL,162,79,83,0.488,3.9,3.8,0.1,-0.1,0,82-80,-3,9-Nov,40-41,39-42,8-Jul,26-29,62-67,17-16,24-43,55-40,0,0,0,0
18,SDP,NL,162,77,85,0.475,3.3,3.6,-0.3,-0.2,-0.4,75-87,2,11-Sep,48-33,29-52,5-Oct,33-21,58-64,19-21,35-42,42-43,0,0,0,0
19,MIA,NL,162,77,85,0.475,4,4.2,-0.2,-0.1,-0.3,78-84,-1,13-7,42-39,35-46,12-Sep,35-29,57-69,20-16,25-35,52-50,0,0,0,0
20,TBR,AL,162,77,85,0.475,3.8,3.9,-0.1,0.1,0.1,79-83,-2,10-Oct,36-45,41-40,10-Aug,25-23,57-61,20-24,47-59,30-26,0,0,0,0
21,CIN,NL,162,76,86,0.469,3.7,3.8,-0.1,-0.1,-0.3,79-83,-3,14-Jun,44-37,32-49,9-Apr,22-38,59-69,17-17,45-45,31-41,0,0,0,0
22,CWS,AL,162,73,89,0.451,4.1,4.7,-0.6,0.1,-0.5,71-91,2,9-Nov,40-41,33-48,8-Jun,28-24,51-66,22-23,45-59,28-30,0,0,0,0
23,CHC,NL,162,73,89,0.451,3.8,4.4,-0.6,-0.1,-0.7,71-91,2,11-Sep,41-40,32-49,10-Aug,19-21,57-71,16-18,37-50,36-39,0,0,0,0
24,PHI,NL,162,73,89,0.451,3.8,4.2,-0.4,0,-0.4,73-89,0,13-Jul,37-44,36-45,11-Oct,28-27,50-67,23-22,28-40,45-49,0,0,0,0
25,BOS,AL,162,71,91,0.438,3.9,4.4,-0.5,0.2,-0.3,72-90,-1,11-Sep,34-47,37-44,11-Oct,28-28,49-64,22-27,38-68,33-23,0,0,0,0
26,HOU,AL,162,70,92,0.432,3.9,4.5,-0.6,0.3,-0.3,71-91,-1,15-May,38-43,32-49,5-Jun,17-28,49-66,21-26,43-58,27-34,0,0,0,0
27,MIN,AL,162,70,92,0.432,4.4,4.8,-0.4,0.1,-0.3,75-87,-5,11-Sep,35-46,35-46,7-Jun,21-24,46-60,24-32,44-64,26-28,0,0,0,0
28,TEX,AL,162,67,95,0.414,3.9,4.8,-0.8,0.3,-0.5,67-95,0,10-Oct,33-48,34-47,5-Feb,25-22,45-66,22-29,37-63,30-32,0,0,0,0
29,COL,NL,162,66,96,0.407,4.7,5,-0.4,-0.2,-0.6,75-87,-9,13-Jul,45-36,21-60,7-Jul,20-24,43-73,23-23,22-51,44-45,0,0,0,0
30,ARI,NL,162,64,98,0.395,3.8,4.6,-0.8,-0.1,-0.9,67-95,-3,13-Jul,33-48,31-50,6-Oct,23-30,49-73,15-25,21-54,43-44,0,0,0,0
